group,count,TP,TN,FP,FN,TPR,FPR,FNR,SelectionRate
White,5501,551,4039,739,172,0.7621023513139695,0.15466722478024278,0.23789764868603042,0.23450281766951464
Black,3464,358,2481,494,131,0.7321063394683026,0.16605042016806723,0.26789366053169733,0.24595842956120093
Unknown or Legacy,1135,78,860,167,30,0.7222222222222222,0.1626095423563778,0.2777777777777778,0.21585903083700442
East/Southeast Asian,839,41,693,82,23,0.640625,0.10580645161290322,0.359375,0.1466030989272944
South Asian,712,39,576,87,10,0.7959183673469388,0.13122171945701358,0.20408163265306123,0.17696629213483145
Middle-Eastern,623,30,497,79,17,0.6382978723404256,0.1371527777777778,0.3617021276595745,0.17495987158908508
Indigenous,392,47,290,46,9,0.8392857142857143,0.13690476190476192,0.16071428571428573,0.2372448979591837
Latino,350,10,284,42,14,0.4166666666666667,0.12883435582822086,0.5833333333333334,0.14857142857142858
