group,count,TP,TN,FP,FN,TPR,FPR,FNR,SelectionRate
2,4237,402,3086,605,144,0.7362637362637363,0.16391221891086427,0.26373626373626374,0.23766816143497757
3,3210,310,2377,408,115,0.7294117647058823,0.1464991023339318,0.27058823529411763,0.2236760124610592
1,2012,186,1447,293,86,0.6838235294117647,0.16839080459770114,0.3161764705882353,0.23807157057654074
4,1813,135,1440,185,53,0.7180851063829787,0.11384615384615385,0.28191489361702127,0.1765030336458908
5,908,54,761,73,20,0.7297297297297297,0.08752997601918465,0.2702702702702703,0.13986784140969163
0,557,29,428,80,20,0.5918367346938775,0.15748031496062992,0.40816326530612246,0.19569120287253142
6,279,4,263,10,2,0.6666666666666666,0.03663003663003663,0.3333333333333333,0.05017921146953405
