group,count,TP,TN,FP,FN,TPR,FPR,FNR,SelectionRate
M,10477,956,7789,1399,333,0.7416602017067494,0.1522638223770135,0.2583397982932506,0.22477808532976998
F,2539,198,1931,337,73,0.7306273062730627,0.14858906525573193,0.2693726937269373,0.21071287908625444
