group,count,TP,TN,FP,FN,TPR,FPR,FNR,SelectionRate
White,5501,543,4039,739,180,0.7510373443983402,0.15466722478024278,0.24896265560165975,0.23304853662970368
Black,3464,345,2509,466,144,0.7055214723926381,0.15663865546218486,0.294478527607362,0.23412240184757505
Unknown or Legacy,1135,73,881,146,35,0.6759259259259259,0.14216163583252192,0.32407407407407407,0.19295154185022026
East/Southeast Asian,839,37,703,72,27,0.578125,0.09290322580645162,0.421875,0.1299165673420739
South Asian,712,39,586,77,10,0.7959183673469388,0.11613876319758673,0.20408163265306123,0.16292134831460675
Middle-Eastern,623,26,512,64,21,0.5531914893617021,0.1111111111111111,0.44680851063829785,0.14446227929373998
Indigenous,392,44,301,35,12,0.7857142857142857,0.10416666666666667,0.21428571428571427,0.20153061224489796
Latino,350,13,271,55,11,0.5416666666666666,0.1687116564417178,0.4583333333333333,0.19428571428571428
