group,count,TP,TN,FP,FN,TPR,FPR,FNR,SelectionRate
White,5501,547,4004,774,176,0.7565698478561549,0.16199246546672247,0.24343015214384509,0.24013815669878205
Black,3464,355,2495,480,134,0.7259713701431493,0.16134453781512606,0.2740286298568507,0.24105080831408776
Unknown or Legacy,1135,80,861,166,28,0.7407407407407407,0.16163583252190847,0.25925925925925924,0.21674008810572687
East/Southeast Asian,839,45,668,107,19,0.703125,0.13806451612903226,0.296875,0.18116805721096543
South Asian,712,40,573,90,9,0.8163265306122449,0.13574660633484162,0.1836734693877551,0.18258426966292135
Middle-Eastern,623,36,480,96,11,0.7659574468085106,0.16666666666666666,0.23404255319148937,0.21187800963081863
Indigenous,392,46,303,33,10,0.8214285714285714,0.09821428571428571,0.17857142857142858,0.20153061224489796
Latino,350,14,271,55,10,0.5833333333333334,0.1687116564417178,0.4166666666666667,0.19714285714285715
