group,count,TP,TN,FP,FN,TPR,FPR,FNR,SelectionRate
M,10477,972,7681,1507,317,0.7540729247478666,0.16401828471919896,0.24592707525213345,0.23661353440870478
F,2539,191,1974,294,80,0.7047970479704797,0.12962962962962962,0.2952029520295203,0.19102008664828674
