group,count,TP,TN,FP,FN,TPR,FPR,FNR,SelectionRate
White,5501,545,4037,741,178,0.7538035961272476,0.15508580996232732,0.24619640387275243,0.23377567714960917
Black,3464,374,2451,524,115,0.7648261758691206,0.1761344537815126,0.23517382413087934,0.2592378752886836
Unknown or Legacy,1135,75,860,167,33,0.6944444444444444,0.1626095423563778,0.3055555555555556,0.213215859030837
East/Southeast Asian,839,36,715,60,28,0.5625,0.07741935483870968,0.4375,0.11442193087008343
South Asian,712,30,616,47,19,0.6122448979591837,0.07088989441930618,0.3877551020408163,0.10814606741573034
Middle-Eastern,623,20,534,42,27,0.425531914893617,0.07291666666666667,0.574468085106383,0.09951845906902086
Indigenous,392,44,293,43,12,0.7857142857142857,0.12797619047619047,0.21428571428571427,0.22193877551020408
Latino,350,7,301,25,17,0.2916666666666667,0.07668711656441718,0.7083333333333334,0.09142857142857143
