group,count,TP,TN,FP,FN,TPR,FPR,FNR,SelectionRate
White,5501,550,4065,713,173,0.7607192254495159,0.14922561741314358,0.2392807745504841,0.2295946191601527
Black,3464,339,2522,453,150,0.6932515337423313,0.15226890756302522,0.3067484662576687,0.22863741339491916
Unknown or Legacy,1135,72,881,146,36,0.6666666666666666,0.14216163583252192,0.3333333333333333,0.1920704845814978
East/Southeast Asian,839,40,692,83,24,0.625,0.10709677419354839,0.375,0.1466030989272944
South Asian,712,39,577,86,10,0.7959183673469388,0.1297134238310709,0.20408163265306123,0.175561797752809
Middle-Eastern,623,31,500,76,16,0.6595744680851063,0.13194444444444445,0.3404255319148936,0.17174959871589085
Indigenous,392,44,295,41,12,0.7857142857142857,0.12202380952380952,0.21428571428571427,0.21683673469387754
Latino,350,15,275,51,9,0.625,0.15644171779141106,0.375,0.18857142857142858
