case,accuracy,f1,roc_auc
Baseline,0.8400122925629994,0.5253667454214493,0.8846499259149836
Debiased-1,0.8383835279655807,0.5221020350700982,0.8831382502506804
Debiased-2,0.833420405654579,0.5156820788121712,0.8816363835768515
