case,accuracy,f1,roc_auc,TPR_gap,FPR_gap,FNR_gap,SelectionRate_gap,EO_gap_max
Baseline,0.8443454210202828,0.5277389277389278,0.8856160079591033,0.13128808795915403,0.05329856356843844,0.13128808795915403,0.07604528740243842,0.13128808795915403
Debiased-1,0.8317455439459127,0.5216251638269986,0.8853748399674114,0.11297811988988815,0.039923683747804625,0.11297811988988815,0.06167949841152981,0.11297811988988815
Debiased-2,0.8269053472649047,0.5143349859883596,0.8841372732685145,0.10198726102511985,0.031395090134201026,0.10198726102511983,0.051427984404382246,0.10198726102511985
