Perceived_Race;Sex;Age_group__at_arrest_;targetcol;support
*;*;*;0.159;13016
0;1;*;0.190;2864
7;1;*;0.168;4273
7;*;2;0.202;1687
*;*;1;0.186;2012
*;1;3;0.179;2601
*;*;2;0.177;4237
*;1;*;0.168;10477
*;1;4;0.141;1479
7;*;3;0.171;1511
7;*;*;0.163;5501
*;1;1;0.195;1598
*;*;3;0.166;3210
*;1;2;0.179;3378
