Perceived_Race;Sex;Age_group__at_arrest_;targetcol;support
*;*;*;0.164;13016
*;1;*;0.173;10477
*;*;2;0.181;4237
*;*;1;0.192;2012
*;1;3;0.185;2601
7;*;*;0.170;5501
0;1;*;0.190;2864
7;*;2;0.207;1687
*;*;4;0.130;1813
*;*;3;0.173;3210
*;1;4;0.142;1479
7;*;3;0.178;1511
*;1;1;0.200;1598
0;*;*;0.177;3464
