Perceived_Race;Sex;Age_group__at_arrest_;recourse_availability;support
*;*;*;0.806;1000
*;*;1;0.949;156
*;1;2;0.928;265
*;*;2;0.926;325
*;*;3;0.762;244
7;*;2;0.984;127
0;1;*;0.864;242
7;*;*;0.791;411
*;1;3;0.762;189
*;*;4;0.681;119
*;0;*;0.806;196
7;*;3;0.764;106
*;1;1;0.953;129
