Perceived_Race;Sex;Age_group__at_arrest_;targetcol;support
*;*;*;0.180;13016
0;1;*;0.212;2864
7;*;2;0.222;1687
*;1;3;0.204;2601
*;*;1;0.205;2012
*;*;2;0.198;4237
7;*;*;0.187;5501
*;1;*;0.188;10477
*;1;4;0.152;1479
*;1;2;0.201;3378
7;*;3;0.195;1511
*;1;1;0.214;1598
*;*;3;0.189;3210
0;*;*;0.200;3464
