group,FPR_Case_5,FPR_Case_5.1,FPR_Case_5.2,FPR_Case_5.3,support_ref
White,0.14922561741314358,0.15466722478024278,0.16199246546672247,0.15466722478024278,5501
Black,0.15226890756302522,0.15663865546218486,0.16134453781512606,0.16605042016806723,3464
Unknown or Legacy,0.14216163583252192,0.14216163583252192,0.16163583252190847,0.1626095423563778,1135
East/Southeast Asian,0.10709677419354839,0.09290322580645162,0.13806451612903226,0.10580645161290322,839
South Asian,0.1297134238310709,0.11613876319758673,0.13574660633484162,0.13122171945701358,712
Middle-Eastern,0.13194444444444445,0.1111111111111111,0.16666666666666666,0.1371527777777778,623
Indigenous,0.12202380952380952,0.10416666666666667,0.09821428571428571,0.13690476190476192,392
Latino,0.15644171779141106,0.1687116564417178,0.1687116564417178,0.12883435582822086,350
