group,FPR_Case_5,FPR_Case_5.1,FPR_Case_5.2,FPR_Case_5.3,support_ref
M,0.1474749673487157,0.14834566826295167,0.16401828471919896,0.1522638223770135,10477
F,0.12962962962962962,0.1283068783068783,0.12962962962962962,0.14858906525573193,2539
