Perceived_Race;Sex;Age_group__at_arrest_;recourse_cost;support
*;*;*;0.914;672
*;*;4;1.037;81
0;*;*;0.950;161
*;0;*;0.961;127
*;1;3;0.936;125
*;*;5;1.000;48
7;1;4;1.150;40
*;*;2;0.898;215
1;*;*;1.000;43
*;0;2;1.048;42
7;0;*;0.986;69
0;*;2;0.981;54
0;*;1;0.955;44
*;*;3;0.925;161
*;1;5;1.000;41
1;1;*;1.000;35
