Perceived_Race;Sex;Age_group__at_arrest_;recourse_availability;support
*;*;*;0.414;1000
7;1;*;0.417;319
0;1;*;0.475;240
*;1;2;0.442;267
*;1;*;0.429;805
0;*;*;0.469;286
*;*;1;0.539;154
*;1;1;0.567;127
*;1;3;0.396;187
*;*;4;0.400;120
*;1;4;0.410;100
7;*;2;0.426;129
*;*;3;0.382;241
*;0;*;0.354;195
