Perceived_Race;Sex;Age_group__at_arrest_;recourse_choice;support
*;*;*;6.789;1000
*;0;*;7.212;193
7;0;*;7.380;100
6;1;*;6.811;74
*;1;1;7.190;121
*;*;2;6.784;315
7;*;*;6.895;430
*;0;2;7.661;59
*;*;1;7.199;146
6;*;*;7.022;93
7;1;*;6.748;330
7;*;2;7.024;125
