Perceived_Race;Sex;Age_group__at_arrest_;recourse_choice;support
*;*;*;8.883;1000
0;*;*;9.266;263
1;*;*;9.745;51
*;0;*;9.052;192
4;*;*;9.333;57
7;1;3;9.000;81
0;1;*;9.226;221
*;*;1;9.163;147
7;*;2;8.896;115
*;*;4;8.944;125
0;*;3;9.414;58
*;0;2;9.464;56
*;0;3;9.069;58
0;1;2;9.147;75
7;*;4;8.821;67
7;0;*;8.968;94
