Perceived_Race;Sex;Age_group__at_arrest_;recourse_availability;support
*;*;*;0.748;1000
*;*;1;0.870;154
*;1;2;0.794;267
7;1;*;0.774;319
*;1;3;0.754;187
*;1;4;0.760;100
7;*;2;0.814;129
*;*;2;0.780;327
7;*;3;0.757;107
*;1;1;0.874;127
7;*;*;0.757;415
*;1;*;0.764;805
