Perceived_Race;Sex;Age_group__at_arrest_;recourse_choice;support
*;*;*;7.173;1000
0;1;*;7.245;229
*;*;1;7.952;145
*;1;*;7.251;809
*;1;2;7.105;256
*;1;4;7.175;103
0;*;*;7.390;269
5;*;*;7.760;50
*;1;1;8.083;121
4;*;*;7.732;56
7;1;2;7.136;88
*;*;4;7.177;124
0;*;3;7.707;58
*;*;2;7.022;314
