Perceived_Race;Sex;Age_group__at_arrest_;recourse_cost;support
*;*;*;0.865;748
0;1;*;0.903;175
*;*;3;0.899;189
7;*;4;0.961;51
1;*;*;0.953;43
*;1;*;0.875;607
7;1;*;0.876;249
0;*;2;0.925;67
*;1;5;0.913;46
*;1;4;0.922;77
7;*;3;0.910;89
*;*;4;0.911;90
*;0;3;0.900;40
0;1;3;0.947;38
7;1;3;0.908;65
*;1;2;0.856;188
