Perceived_Race;Sex;Age_group__at_arrest_;recourse_choice;support
*;*;*;8.470;1000
7;*;4;8.812;69
*;1;1;8.874;127
1;*;*;9.294;51
*;1;*;8.516;808
4;*;*;8.929;56
7;1;*;8.506;324
*;1;5;8.662;68
*;0;3;8.754;57
0;*;*;8.465;271
6;*;*;8.632;87
*;*;4;8.775;120
7;1;3;8.476;84
0;1;*;8.453;232
*;*;1;8.743;152
*;1;4;8.730;100
