Perceived_Race;Sex;Age_group__at_arrest_;recourse_choice;support
*;*;*;9.438;1000
*;*;3;9.581;253
*;0;*;9.569;188
7;0;*;9.688;96
5;*;*;9.800;50
*;1;5;9.667;72
4;*;*;9.741;54
*;*;1;9.462;145
0;*;*;9.431;269
0;1;*;9.419;229
7;*;3;9.652;115
*;0;3;9.828;58
*;1;4;9.434;106
0;*;2;9.419;93
*;*;4;9.449;127
0;1;2;9.349;83
