Perceived_Race;Sex;Age_group__at_arrest_;recourse_cost;support
*;*;*;0.931;564
7;0;*;0.983;58
7;*;4;1.026;39
*;0;*;1.018;110
0;1;*;0.958;119
6;*;*;1.034;58
*;1;4;1.075;53
*;1;3;0.949;98
7;*;2;0.940;83
*;0;2;1.161;31
*;*;1;0.919;99
7;*;*;0.922;257
7;1;*;0.905;199
*;1;5;0.903;31
*;*;2;0.925;187
*;1;2;0.878;156
