Perceived_Race;Sex;Age_group__at_arrest_;recourse_choice;support
*;*;*;3.822;1000
0;1;*;4.167;246
7;1;*;3.851;316
*;1;1;4.803;132
7;*;2;4.310;129
0;*;*;4.205;292
*;1;3;3.767;189
*;1;2;4.023;266
*;0;*;3.594;192
*;*;4;3.385;117
*;*;1;4.652;158
