Perceived_Race;Sex;Age_group__at_arrest_;recourse_choice;support
*;*;*;7.589;1000
4;*;*;8.446;56
*;0;*;8.233;189
*;1;1;8.156;122
1;*;*;8.843;51
7;*;*;7.668;428
*;0;3;8.414;58
*;*;2;7.460;315
6;*;*;7.832;95
7;0;*;8.454;97
7;*;4;7.552;67
*;*;1;8.171;146
7;*;2;7.696;125
7;1;2;7.446;92
0;*;1;7.814;59
7;1;*;7.438;331
