Perceived_Race;Sex;Age_group__at_arrest_;recourse_choice;support
*;*;*;7.725;1000
6;*;*;8.469;96
*;*;1;8.035;141
*;*;2;7.799;303
0;*;3;8.228;57
*;0;3;8.267;60
0;1;2;7.987;75
7;1;*;7.622;320
*;0;2;8.123;57
*;1;*;7.726;804
7;*;2;7.735;117
5;*;*;7.830;53
*;1;4;7.590;105
*;*;3;7.801;256
