Perceived_Race;Sex;Age_group__at_arrest_;recourse_availability;support
*;*;*;0.748;1000
7;*;*;0.806;407
0;1;*;0.788;222
*;*;2;0.783;300
*;1;1;0.850;120
*;1;3;0.772;193
1;*;*;0.843;51
6;*;*;0.701;97
7;*;3;0.824;108
*;1;4;0.720;107
0;1;2;0.824;74
7;0;*;0.806;98
*;*;1;0.816;147
7;1;*;0.806;309
7;*;2;0.858;113
0;*;1;0.850;60
