Perceived_Race;Sex;Age_group__at_arrest_;recourse_cost;support
*;*;*;0.961;849
0;*;*;1.022;226
7;*;*;0.983;360
*;1;4;1.096;83
*;1;5;1.125;56
*;0;3;1.036;56
5;*;*;1.070;43
7;1;*;0.996;273
0;*;2;1.041;73
0;*;3;1.058;52
7;*;2;0.963;109
0;1;1;1.000;43
*;0;2;0.964;56
7;*;4;1.113;53
*;*;0;0.935;46
*;*;1;0.922;129
