Perceived_Race;Sex;Age_group__at_arrest_;recourse_availability;support
*;*;*;0.832;1000
*;*;1;0.897;146
*;0;*;0.873;189
7;*;*;0.843;428
1;*;*;0.902;51
4;*;*;0.875;56
6;*;*;0.842;95
7;*;3;0.853;116
*;0;3;0.897;58
7;*;2;0.840;125
*;1;1;0.893;122
*;0;2;0.862;58
7;0;*;0.887;97
7;1;3;0.845;84
7;1;2;0.826;92
7;1;*;0.831;331
