Perceived_Race;Sex;Age_group__at_arrest_;recourse_cost;support
*;*;*;1.070;815
0;*;*;1.125;232
*;1;4;1.190;84
4;*;*;1.245;49
*;*;2;1.094;255
*;1;3;1.091;165
0;*;2;1.184;76
*;0;*;1.093;151
*;*;5;1.071;56
0;1;3;1.214;42
7;1;3;1.056;72
6;*;*;1.041;74
*;0;2;1.191;47
0;*;1;1.037;54
*;1;2;1.072;208
7;0;*;1.070;71
