Perceived_Race;Sex;Age_group__at_arrest_;recourse_choice;support
*;*;*;6.804;1000
7;*;*;7.342;407
*;1;1;7.992;120
*;*;2;7.200;300
0;1;*;7.113;222
1;*;*;7.314;51
6;1;*;6.833;78
*;1;3;6.668;193
*;1;4;6.729;107
*;0;*;6.482;199
0;*;1;8.050;60
7;*;3;7.222;108
*;*;1;7.673;147
0;*;3;6.559;59
7;0;*;7.398;98
7;1;*;7.324;309
