Perceived_Race;Sex;Age_group__at_arrest_;recourse_availability;support
*;*;*;0.785;1000
0;1;*;0.867;210
*;*;2;0.838;302
*;*;1;0.854;151
7;*;*;0.778;414
6;*;*;0.822;101
*;*;3;0.764;254
*;0;2;0.895;57
1;*;*;0.788;52
7;1;*;0.767;318
0;*;*;0.853;251
7;*;2;0.851;114
0;*;3;0.833;54
*;1;1;0.871;124
7;*;4;0.746;67
0;*;2;0.889;81
