Perceived_Race;Sex;Age_group__at_arrest_;recourse_availability;support
*;*;*;0.564;1000
7;*;*;0.621;414
*;*;1;0.678;146
*;1;2;0.622;251
6;*;*;0.592;98
*;0;*;0.570;193
0;1;*;0.551;216
7;*;3;0.613;111
0;*;*;0.545;257
7;1;2;0.736;87
0;1;2;0.613;75
*;1;1;0.686;121
7;*;4;0.582;67
7;*;2;0.697;119
*;0;3;0.593;59
6;1;*;0.600;80
