Perceived_Race;Sex;Age_group__at_arrest_;recourse_choice;support
*;*;*;8.256;1000
0;*;*;8.785;251
7;*;*;8.289;419
7;*;2;8.712;118
*;0;*;8.454;196
*;0;3;8.918;61
*;1;5;8.610;77
*;*;4;8.266;124
*;1;1;8.395;124
0;*;3;9.073;55
6;*;*;7.970;100
1;*;*;8.135;52
5;*;*;8.073;55
*;0;2;8.897;58
7;1;*;8.222;325
6;1;*;7.938;81
