Perceived_Race;Sex;Age_group__at_arrest_;recourse_cost;support
*;*;*;0.889;839
*;1;*;0.910;675
*;1;3;0.969;161
0;1;*;0.944;180
*;1;5;1.000;61
7;*;4;0.914;58
4;*;*;0.956;45
7;0;*;0.847;85
*;*;3;0.934;212
0;*;2;0.940;67
*;*;0;0.886;44
0;*;*;0.921;216
7;1;4;0.936;47
0;*;3;0.978;45
*;*;1;0.864;125
*;*;5;0.971;69
