Perceived_Race;Sex;Age_group__at_arrest_;recourse_cost;support
*;*;*;0.855;785
*;0;*;0.947;152
*;1;1;0.926;108
6;*;*;0.952;83
*;0;2;1.059;51
*;*;3;0.887;194
1;*;*;0.976;41
0;*;1;0.889;54
0;1;1;0.935;46
*;*;1;0.907;129
*;*;0;0.805;41
*;0;3;1.000;45
*;1;5;0.926;54
*;*;2;0.842;253
*;1;2;0.787;202
*;1;3;0.852;149
