Perceived_Race;Sex;Age_group__at_arrest_;recourse_cost;support
*;*;*;0.884;871
7;*;*;0.935;368
*;0;*;0.949;178
*;1;3;0.908;163
7;*;3;1.021;95
*;*;1;0.910;133
*;0;2;1.018;55
*;*;4;0.910;111
6;*;*;0.895;86
4;*;*;0.909;44
5;*;*;0.894;47
0;*;*;0.848;230
7;1;*;0.915;282
*;1;5;0.868;68
7;1;4;0.958;48
7;1;3;1.030;66
