Perceived_Race;Sex;Age_group__at_arrest_;recourse_choice;support
*;*;*;7.132;1000
0;*;*;7.912;251
*;*;2;7.579;302
7;*;*;7.184;414
*;*;1;7.815;151
*;1;*;7.215;804
7;1;*;7.233;318
*;*;3;6.913;254
6;*;*;6.950;101
0;1;*;8.019;210
*;1;4;7.019;103
1;*;*;6.962;52
7;*;2;7.754;114
*;1;1;7.960;124
0;*;3;7.833;54
*;1;2;7.608;245
