Perceived_Race;Sex;Age_group__at_arrest_;recourse_cost;support
*;*;*;0.842;860
*;0;3;1.056;54
0;1;*;0.895;190
6;*;*;1.000;72
*;1;*;0.842;691
4;*;*;1.040;50
*;*;4;0.933;105
0;*;2;0.959;74
*;*;3;0.887;222
*;1;1;0.868;106
*;1;5;0.862;58
*;1;4;0.955;88
*;1;3;0.833;168
*;*;0;0.800;45
*;*;1;0.845;129
0;*;1;0.868;53
