Perceived_Race;Sex;Age_group__at_arrest_;recourse_availability;support
*;*;*;0.871;1000
0;*;*;0.916;251
7;*;*;0.878;419
*;*;1;0.899;148
*;0;*;0.908;196
*;*;4;0.895;124
*;0;2;0.948;58
*;0;3;0.934;61
*;1;5;0.883;77
7;*;2;0.898;118
6;*;*;0.860;100
0;1;*;0.904;209
0;*;3;0.927;55
7;1;*;0.868;325
*;1;1;0.903;124
5;*;*;0.855;55
