Perceived_Race;Sex;Age_group__at_arrest_;recourse_availability;support
*;*;*;0.846;1000
7;1;*;0.884;327
0;*;*;0.867;270
*;*;2;0.874;310
*;*;3;0.863;248
*;*;1;0.863;146
7;*;*;0.872;423
7;*;3;0.901;111
*;1;2;0.881;252
0;1;*;0.872;227
*;0;3;0.879;58
*;*;4;0.828;128
*;1;3;0.858;190
4;*;*;0.873;55
7;*;4;0.853;68
0;*;3;0.881;59
