Perceived_Race;Sex;Age_group__at_arrest_;recourse_availability;support
*;*;*;0.672;1000
7;*;*;0.714;420
*;*;1;0.795;146
*;*;2;0.698;308
1;*;*;0.843;51
*;*;3;0.641;251
7;*;4;0.731;67
7;*;2;0.785;121
*;1;3;0.648;193
0;1;2;0.649;77
*;1;1;0.803;122
*;0;2;0.750;56
*;1;*;0.672;811
0;*;3;0.632;57
7;1;*;0.711;325
0;1;1;0.780;50
