Perceived_Race;Sex;Age_group__at_arrest_;recourse_cost;support
*;*;*;0.768;962
0;1;*;0.864;220
7;*;*;0.774;411
*;*;2;0.810;300
*;1;3;0.781;187
0;*;*;0.845;258
*;0;2;0.833;54
7;1;*;0.777;318
7;1;4;0.789;57
0;1;1;0.918;49
*;1;2;0.805;246
7;*;3;0.786;112
*;*;5;0.766;77
4;*;*;0.741;54
6;1;*;0.729;70
5;*;*;0.735;49
