Perceived_Race;Sex;Age_group__at_arrest_;recourse_choice;support
*;*;*;6.833;1000
0;*;*;7.796;255
7;*;*;6.881;420
*;*;1;7.723;148
*;*;3;7.122;255
*;*;2;6.984;304
*;0;*;7.198;192
1;*;*;7.824;51
6;*;*;6.510;96
7;*;3;7.655;113
*;*;4;6.452;124
*;1;1;7.902;123
7;*;2;7.133;120
*;1;2;6.927;247
*;0;3;7.845;58
7;1;3;7.639;83
