Perceived_Race;Sex;Age_group__at_arrest_;recourse_choice;support
*;*;*;8.172;1000
7;*;*;8.935;415
0;*;*;8.058;259
7;0;*;9.585;94
*;*;2;8.318;308
*;*;1;8.290;145
7;*;3;9.143;112
7;*;2;9.183;120
4;*;*;7.814;59
0;1;*;8.078;219
*;1;4;8.133;105
*;1;2;8.174;253
*;*;3;8.216;255
7;*;4;8.806;67
*;1;1;8.314;118
*;1;3;8.091;197
