Perceived_Race;Sex;Age_group__at_arrest_;recourse_availability;support
*;*;*;0.962;1000
5;*;*;0.980;50
7;0;*;0.969;96
4;*;*;1.000;54
*;1;5;0.986;72
*;1;4;0.972;106
7;*;4;0.972;72
7;*;3;0.974;115
0;1;*;0.961;229
*;0;3;0.983;58
*;1;*;0.963;812
*;*;4;0.969;127
7;1;4;0.966;59
0;*;2;0.957;93
0;*;*;0.959;269
