Perceived_Race;Sex;Age_group__at_arrest_;recourse_availability;support
*;*;*;0.779;1000
*;0;3;0.793;58
7;0;*;0.830;100
*;0;*;0.798;193
*;1;1;0.802;121
*;0;2;0.831;59
0;*;3;0.797;59
*;*;1;0.801;146
*;1;3;0.777;202
*;*;3;0.781;260
*;1;4;0.770;100
*;1;5;0.775;71
*;1;*;0.774;807
6;*;*;0.774;93
7;*;*;0.784;430
7;*;2;0.792;125
