Perceived_Race;Sex;Age_group__at_arrest_;recourse_choice;support
*;*;*;7.894;1000
*;*;2;8.274;310
*;*;1;8.622;143
*;*;3;8.161;254
4;*;*;8.684;57
*;0;*;8.316;196
7;*;*;7.844;423
7;*;2;8.492;120
*;1;4;7.228;101
7;*;3;8.248;113
0;*;*;7.931;262
*;0;3;8.881;59
*;0;2;8.750;60
*;1;2;8.160;250
0;1;*;7.846;221
0;*;3;8.102;59
