Perceived_Race;Sex;Age_group__at_arrest_;recourse_cost;support
*;*;*;0.961;726
0;*;*;1.022;183
*;0;*;1.020;151
*;1;3;1.015;137
4;*;*;1.156;45
*;1;4;1.000;78
*;1;5;1.041;49
0;*;2;1.089;56
6;*;*;0.986;70
0;*;3;1.140;43
1;1;*;1.000;38
7;*;4;1.019;52
5;1;*;0.974;38
7;*;*;0.916;296
7;1;4;1.024;41
*;0;2;1.021;47
