Perceived_Race;Sex;Age_group__at_arrest_;recourse_availability;support
*;*;*;0.815;1000
0;*;*;0.862;269
4;*;*;0.875;56
*;*;1;0.883;145
*;1;3;0.833;198
*;*;2;0.812;314
*;1;*;0.821;809
*;*;4;0.815;124
7;1;3;0.837;86
*;1;1;0.893;121
0;*;3;0.914;58
*;1;2;0.812;256
7;*;2;0.795;122
*;1;4;0.816;103
7;1;2;0.795;88
5;*;*;0.820;50
