Perceived_Race;Sex;Age_group__at_arrest_;recourse_cost;support
*;*;*;0.953;779
*;1;*;0.984;625
*;1;3;1.032;157
0;1;*;0.988;164
*;*;5;1.048;62
*;1;4;1.026;77
4;*;*;1.024;42
7;1;2;0.971;68
0;*;3;1.064;47
*;1;2;0.948;192
0;*;1;0.953;43
*;*;4;0.989;94
7;*;4;1.019;53
*;*;3;0.985;203
6;1;*;0.965;57
7;0;*;0.831;83
