Perceived_Race;Sex;Age_group__at_arrest_;recourse_cost;support
*;*;*;0.890;924
7;*;*;0.939;377
0;*;*;0.892;249
*;0;2;1.000;55
*;1;*;0.894;742
*;*;0;1.000;48
0;*;3;0.945;55
4;1;*;0.936;47
7;1;*;0.937;287
0;*;2;0.938;81
*;*;1;0.887;141
7;*;3;0.925;106
*;1;5;0.905;63
*;1;4;0.872;94
*;1;1;0.897;116
1;*;*;0.840;50
