Perceived_Race;Sex;Age_group__at_arrest_;recourse_choice;support
*;*;*;5.714;1000
*;1;1;7.303;122
7;*;*;6.093;420
*;*;2;5.951;308
1;*;*;7.059;51
*;1;3;5.440;193
7;*;2;6.719;121
*;0;*;5.598;189
7;1;*;6.126;325
*;*;1;7.048;146
*;1;2;5.917;252
7;1;3;5.888;80
