Perceived_Race;Sex;Age_group__at_arrest_;recourse_choice;support
*;*;*;4.786;1000
*;1;1;6.289;121
7;*;*;5.213;414
*;1;2;5.239;251
*;0;*;4.653;193
6;1;*;5.237;80
7;1;*;5.325;320
0;1;2;4.987;75
7;1;2;6.057;87
*;*;1;6.048;146
0;*;1;5.793;58
*;*;3;4.307;254
*;1;3;4.205;195
7;1;3;4.838;80
7;*;4;4.851;67
*;0;3;4.644;59
