Perceived_Race;Sex;Age_group__at_arrest_;recourse_choice;support
*;*;*;7.931;1000
*;1;1;8.608;120
7;*;*;8.086;431
*;0;*;8.124;193
*;*;4;8.222;126
6;*;*;8.128;94
7;1;2;8.112;89
7;*;3;8.128;117
6;1;*;8.067;75
*;0;3;8.404;57
*;1;5;7.861;72
7;1;3;8.047;86
*;1;4;8.113;106
*;1;*;7.885;807
7;1;*;8.039;333
