Perceived_Race;Sex;Age_group__at_arrest_;recourse_choice;support
*;*;*;6.515;1000
*;*;1;7.682;151
1;*;*;8.654;52
*;0;*;6.870;193
*;*;2;6.536;302
7;*;*;6.395;415
*;1;4;6.840;106
*;*;3;6.287;251
5;*;*;7.111;54
7;*;2;6.655;116
*;1;3;6.246;191
6;1;*;6.605;76
*;0;2;7.429;56
7;*;3;6.312;109
7;*;4;6.797;69
*;1;1;7.651;126
