Perceived_Race;Sex;Age_group__at_arrest_;recourse_availability;support
*;*;*;0.726;1000
*;*;1;0.828;151
*;0;*;0.782;193
1;*;*;0.904;52
7;*;2;0.750;116
*;1;3;0.717;191
*;*;4;0.744;125
6;*;*;0.745;94
*;*;2;0.719;302
*;*;3;0.725;251
4;*;*;0.776;58
5;*;*;0.778;54
*;0;2;0.839;56
0;*;3;0.741;58
7;*;*;0.713;415
7;0;*;0.792;96
