Perceived_Race;Sex;Age_group__at_arrest_;recourse_availability;support
*;*;*;0.839;1000
*;1;1;0.900;120
7;*;*;0.856;431
*;0;*;0.850;193
6;*;*;0.862;94
7;*;3;0.872;117
*;*;4;0.857;126
6;1;*;0.867;75
*;0;3;0.895;57
7;1;2;0.854;89
*;1;5;0.847;72
*;1;4;0.849;106
*;0;2;0.850;60
7;1;*;0.853;333
