Perceived_Race;Sex;Age_group__at_arrest_;recourse_availability;support
*;*;*;0.825;1000
6;*;*;0.917;96
*;*;3;0.855;256
*;*;1;0.844;141
7;*;2;0.838;117
5;*;*;0.887;53
*;0;3;0.900;60
*;0;2;0.877;57
*;1;*;0.822;804
7;1;*;0.816;320
*;1;1;0.845;116
0;*;2;0.812;85
6;1;*;0.909;77
7;1;2;0.824;85
0;*;*;0.812;261
