Perceived_Race;Sex;Age_group__at_arrest_;recourse_availability;support
*;*;*;0.924;1000
0;*;*;0.947;263
*;0;*;0.948;192
*;*;1;0.959;147
*;*;2;0.934;303
4;*;*;0.982;57
*;*;3;0.930;256
7;*;3;0.946;112
0;1;*;0.941;221
1;*;*;0.980;51
7;*;2;0.930;115
*;1;1;0.959;121
7;0;*;0.957;94
*;0;2;0.982;56
0;*;3;0.948;58
*;*;4;0.912;125
