Perceived_Race;Sex;Age_group__at_arrest_;recourse_choice;support
*;*;*;8.076;1000
7;*;*;8.411;423
0;*;*;8.270;270
*;*;1;8.473;146
*;*;2;8.223;310
*;*;3;8.242;248
7;1;*;8.505;327
*;*;4;8.008;128
*;1;2;8.250;252
0;*;3;8.695;59
4;*;*;8.073;55
0;1;*;8.295;227
7;*;3;8.595;111
7;1;2;8.787;89
*;1;*;8.109;806
*;1;1;8.513;119
